ruta,nivel,razon,revisada
C:\Desarrollos DEV daniel\.tmp.driveupload,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\06_hyperpane,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\Desarrollo CV borderlands3,raíz,Contenido de CV y portafolio personal fuera del catálogo de producto.,sí
C:\Desarrollos DEV daniel\EntornoOpensource,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\formato unib,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\pgo renta,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\plan de financiamiento,raíz,Información financiera y de terceros fuera del catálogo público.,sí
C:\Desarrollos DEV daniel\proyectia tabs,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\Proyectia TSK 2027,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\qwen code,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\Reflectia,raíz,No se identificó como producto consolidado; requiere clasificación manual.,sí
C:\Desarrollos DEV daniel\tmp,raíz,Artefactos temporales y respaldos técnicos.,sí
C:\Desarrollos DEV daniel\todos documentos,raíz,"Repositorio documental transversal, no producto independiente.",sí
C:\Desarrollos DEV daniel\unova SA de CV,raíz,Carpeta de salida de este catálogo.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\07_julia,copia/variante,Se consolidó bajo Julia; la ruta vigente seleccionada es C:\Desarrollos DEV daniel\julia.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\16_Pulsar_Tiktok,copia/variante,Se consolidó bajo Pulsar TikTok; la ruta vigente seleccionada es C:\Desarrollos DEV daniel\pulsar-project.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\17_React_Bite,copia/variante,Se consolidó bajo React Bite; la ruta vigente seleccionada es C:\Desarrollos DEV daniel\Reactbite.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\20_slap-faast,copia/variante,Se consolidó bajo FAAST; la ruta vigente seleccionada es G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\60_FAAST.,sí
C:\Desarrollos DEV daniel\Master dev click switch swiss,copia/variante,Se consolidó bajo switch click swiss; la ruta vigente seleccionada es G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\21_switch_click_swiss.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\01_software\26_Windows_A,copia/variante,Se consolidó bajo Windows A; la ruta vigente seleccionada es C:\Desarrollos DEV daniel\nueva propuesta windows 12.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\02_App IOS y android\04_App_juego_inglés_con_ia,copia/variante,Se consolidó bajo App juego inglés con ia; la ruta vigente seleccionada es G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\02_App IOS y android\04_App_juego_inglÃ©s_con_ia.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\05_videojuegos\07_Neko_nesushi_🐈‍⬛,copia/variante,Se consolidó bajo Neko nesushi; la ruta vigente seleccionada es G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\05_videojuegos\07_Neko_nesushi_.,sí
C:\Desarrollos DEV daniel\nodia-home-clone,copia/variante,Se consolidó bajo Nodia; la ruta vigente seleccionada es C:\Desarrollos DEV daniel\nodia.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\FICHAS_PRODUCTO,raíz Voyager,Carpeta vacía al momento de la auditoría.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\pryectos,raíz Voyager,Bóveda Obsidian sin fichas de producto; no se publicó como producto.,sí
G:\Otros ordenadores\AorusPC\Voyager 2026\Proyectos personales 2026\proyectos voyager\sociedad unova,raíz Voyager,"Se usaron únicamente los análisis de Producto para enriquecer fichas; datos societarios, personales y financieros no se publican.",sí
